time	UN1	UN2	UN3	UN4	UN5	UN6	UN7	UN8	UN9	UN10	UN11	UN12	UN13	UN14	UN15	UN16	UN17	UN18	UN19	UN20	UN21	UN22	UN23	UN24	UN25	UN26	UN27	UN28	UN29	UN30	UN31	UN32	UN33	UN34	UN35	UN36	UN37	UN38	UN39	UN40	UN41	UN42	UN43	UN44	UN45	UN46	UN47	UN48	UN49	UN50	UN51	UN52	UN53	UN54	UN55	UN56	UN57	UN58	UN59	UN60	UN61	UN62	UN63	UN64	UN65	UN66	UN67	UN68	UN69	UN70	UN71	UN72	UN73	UN74	UN75
336	0.0296	0.0919	0.0517	0.0829	0.0128	-0.0151	0.0186	0.0358	0.0738	0.0468	-0.0055	0.0207	0.032	0.0716	0.0176	0.0604	0.0561	0.0488	0.0447	0.0253	0.0337	0.0251	0.0711	0.0296	0.0007	0.0462	0.0254	0.0993	0.0812	0.084	0.0639	0.0794	0.0985	0.0888	0.1319	0.094	0.0824	0.0742	0.0719	0.0528	0.0195	0.0693	0.0264	0.0931	0.0971	0.0304	0.0756	0.0392	0.0825	0.1113	0.0896	0.2615	0.2088	0.1016	0.1246	0.1051	0.2144	0.1733	0.2047	0.1015	0.1156	0.0618	0.0971	0.1558	0.126	0.1495	0.0492	0.1507	0.3855	0.1441	0.0498	0.1029	0.1856	0.1351	0.206
672	0.0561	0.1649	0.0515	0.1168	0.0312	0.0202	0.0429	0.0216	0.097	0.055	0.0118	0.0352	0.0117	0.064	0.0592	0.07	0.0924	0.0975	0.0752	0.0002	0.0409	0.0598	0.0512	0.0657	0.0251	0.1143	0.0953	0.1616	0.0951	0.1327	0.0834	0.1452	0.1585	0.1059	0.167	0.127	0.1021	0.1569	0.1253	0.0866	0.0505	0.0881	0.0822	0.1006	0.1644	0.0841	0.1049	0.0526	0.1025	0.1147	0.1451	0.3878	0.2743	0.1384	0.1786	0.1933	0.2319	0.2682	0.2591	0.1725	0.1489	0.1678	0.1618	0.283	0.2105	0.206	0.1418	0.2034	0.4627	0.2196	0.1277	0.2016	0.2544	0.197	0.3079
1008	0.0386	0.1337	0.0652	0.1107	0.0736	0.0166	0.0561	0.0486	0.1373	0.0476	0.0671	0.0415	0.0473	0.0802	0.0698	0.1252	0.073	0.0918	0.0823	0.0197	0.0724	0.0896	0.1011	0.0809	0.0398	0.1121	0.0931	0.1948	0.1522	0.158	0.1146	0.1927	0.1939	0.1193	0.2029	0.1558	0.1115	0.1776	0.18	0.0899	0.1273	0.1076	0.0546	0.1146	0.2045	0.1081	0.128	0.0816	0.1525	0.1653	0.1804	0.403	0.3259	0.1877	0.2299	0.2414	0.2659	0.3603	0.3226	0.2289	0.1749	0.1812	0.1889	0.3266	0.2593	0.2072	0.1417	0.2572	0.5042	0.2667	0.1825	0.2878	0.3295	0.211	0.3991
1344	0.0992	0.1817	0.0807	0.1195	0.0453	0.0322	0.0239	0.101	0.1502	0.0725	0.0547	0.0295	0.0657	0.1147	0.0935	0.1236	0.0721	0.1069	0.0866	0.0571	0.0805	0.1166	0.1217	0.1064	0.0095	0.1365	0.1435	0.2152	0.1702	0.2053	0.1332	0.1732	0.2131	0.1868	0.2347	0.1836	0.1686	0.2152	0.167	0.0719	0.1385	0.1156	0.1076	0.1593	0.2798	0.1061	0.1635	0.0876	0.1261	0.2007	0.2014	0.4497	0.3698	0.2106	0.281	0.2551	0.3128	0.4095	0.3701	0.2402	0.2462	0.2255	0.1976	0.4054	0.2964	0.293	0.1999	0.2837	0.4975	0.3419	0.1903	0.3255	0.3475	0.2471	0.4142
1680	0.0727	0.1696	0.1074	0.1612	0.0615	0.0781	0.052	0.0943	0.1167	0.0875	0.0191	0.0511	0.036	0.0996	0.1148	0.1304	0.0977	0.1409	0.1072	0.093	0.0913	0.1018	0.1218	0.1387	0.0115	0.165	0.1244	0.2398	0.2007	0.2516	0.1203	0.2462	0.2447	0.1968	0.2747	0.2212	0.1589	0.2173	0.197	0.1384	0.1894	0.1151	0.1272	0.1293	0.2617	0.1616	0.173	0.0987	0.1963	0.2297	0.2269	0.5222	0.4178	0.2666	0.2577	0.3016	0.3636	0.4443	0.3986	0.2648	0.2367	0.2602	0.2258	0.4465	0.317	0.3253	0.2101	0.3334	0.5579	0.3551	0.216	0.3277	0.4204	0.2822	0.4099
2016	0.1247	0.2017	0.1112	0.1294	0.0752	0.0731	0.0428	0.0856	0.1691	0.09	0.0697	0.0371	0.0498	0.1428	0.1309	0.1314	0.1001	0.1613	0.1156	0.0672	0.117	0.1108	0.1631	0.1368	0.0741	0.1835	0.1295	0.2533	0.1762	0.2216	0.1414	0.2624	0.272	0.2383	0.278	0.2434	0.1768	0.2472	0.2215	0.1202	0.1809	0.1659	0.1358	0.1499	0.2784	0.1432	0.2033	0.109	0.2155	0.2078	0.2205	0.5194	0.4289	0.2619	0.3309	0.329	0.354	0.4864	0.4225	0.3423	0.2221	0.2658	0.2757	0.4977	0.38	0.3169	0.2494	0.347	0.5659	0.4122	0.2643	0.382	0.4733	0.3094	0.4711
2352	0.1207	0.202	0.1043	0.188	0.0724	0.0853	0.0543	0.0819	0.1661	0.1039	0.0528	0.0489	0.0727	0.1222	0.142	0.1403	0.1236	0.1628	0.1149	0.0759	0.1119	0.1491	0.1981	0.1311	0.0452	0.1966	0.1486	0.2618	0.2388	0.2379	0.1864	0.28	0.2475	0.2445	0.3025	0.2659	0.1715	0.2686	0.2607	0.132	0.1692	0.182	0.1416	0.1707	0.3283	0.1933	0.2342	0.1027	0.211	0.2826	0.269	0.509	0.4328	0.3275	0.3444	0.363	0.3987	0.5161	0.4522	0.3765	0.2813	0.3288	0.2771	0.5153	0.3851	0.3446	0.2673	0.4041	0.5868	0.4584	0.2769	0.4063	0.5156	0.2948	0.4822
2688	0.0894	0.2112	0.1482	0.1568	0.0779	0.0692	0.0669	0.0942	0.1952	0.1155	0.0818	0.0559	0.0531	0.1181	0.1523	0.177	0.1189	0.1661	0.133	0.0788	0.1323	0.1373	0.1716	0.182	-0.012	0.2176	0.1509	0.2804	0.2133	0.2917	0.2012	0.2931	0.2953	0.261	0.3404	0.2576	0.2235	0.2895	0.2406	0.1575	0.2062	0.1773	0.1444	0.2063	0.3216	0.1774	0.2564	0.1182	0.2578	0.2725	0.2713	0.5515	0.4696	0.3466	0.3743	0.3768	0.3962	0.5586	0.5078	0.3796	0.2922	0.3439	0.3106	0.5259	0.3921	0.3475	0.2926	0.4272	0.6206	0.4687	0.3183	0.4098	0.5264	0.3093	0.529
3024	0.1428	0.2344	0.1489	0.183	0.1174	0.1037	0.0575	0.1024	0.1735	0.1377	0.0831	0.0409	0.0558	0.1202	0.1735	0.2042	0.1466	0.1591	0.1432	0.1032	0.1577	0.1613	0.217	0.1779	0.0041	0.2041	0.1462	0.2624	0.2422	0.2905	0.227	0.3169	0.3399	0.3067	0.3596	0.2794	0.2151	0.2816	0.2521	0.1414	0.2592	0.2099	0.1874	0.1923	0.3284	0.2182	0.2814	0.1232	0.2483	0.2921	0.3068	0.5359	0.4732	0.3444	0.4165	0.3826	0.4285	0.5677	0.4747	0.3916	0.2966	0.3596	0.3001	0.5665	0.4319	0.4089	0.2906	0.4013	0.5905	0.472	0.3316	0.4612	0.5467	0.3548	0.5285
3360	0.1428	0.2232	0.1369	0.225	0.0961	0.0795	0.0536	0.1119	0.2048	0.1543	0.1193	0.0156	0.0962	0.1445	0.1828	0.1886	0.1396	0.1979	0.1584	0.0743	0.1721	0.1634	0.207	0.1994	0.0574	0.2239	0.1531	0.3287	0.259	0.2921	0.2383	0.3116	0.3285	0.3273	0.3609	0.3184	0.227	0.2897	0.2947	0.1787	0.2487	0.2078	0.1817	0.209	0.3625	0.2329	0.3256	0.1303	0.2592	0.304	0.2918	0.5742	0.5037	0.3885	0.4513	0.3904	0.4513	0.589	0.51	0.4006	0.3101	0.3824	0.2809	0.5927	0.4233	0.4018	0.3053	0.4298	0.6151	0.5073	0.3135	0.4704	0.5608	0.3623	0.5711
