	X1_1	X2_1	X3_1	Y1_1	Y2_1	Y3_1	X1_2	X2_2	X3_2	Y1_2	Y2_2	Y3_2	X1_3	X2_3	X3_3	Y1_3	Y2_3	Y3_3
1	260.6	260.2	261.1	155.335	155.846	156.292	260.3	260.7	259.8	156.508	156.049	156.525	260.4	260.2	260.1	156.021	155.998	158.027
2	260.7	259.6	260.9	155.168	155.621	155.879	260.5	259.4	259.4	157.004	156.228	155.919	259.4	259.6	259.9	156.574	158.368	157.996
3	260.3	259.9	260.7	155.429	155.809	155.957	259.7	260.1	258.9	156.752	156.033	156.119	259.2	260.1	259.7	156.027	158.121	157.558
4	260.1	259.8	261	155.753	155.982	155.644	259.3	259.8	259.6	157.211	156.209	156.712	258.1	258.4	258.1	156.837	158.381	157.499
5	259.9	260.1	260.8	156.083	156.117	156.225	258.8	260.4	259.1	157.895	156.615	156.33	257.2	257.8	258.5	157.837	158.881	158.488
6	259.3	259.5	260.1	156.359	156.516	156.775	257.6	259.2	257.8	158.143	157.217	157.318	256.7	257.4	256.6	158.866	159.754	158.189
7	259.5	259.3	260.4	156.133	156.166	156.822	258.1	258.9	258.3	158.119	157.431	157.712	256.2	256.8	255.8	158.822	159.307	159.447
8	259.4	259.2	259.8	156.329	156.989	156.706	257.9	258.7	257.2	158.3	158.217	157.333	256.4	255.7	255.3	160.483	159.056	158.946
9	259.7	259	259.6	156.845	157.051	156.876	258.5	258.2	256.7	159.292	157.627	157.717	254.7	255	254.3	159.789	160.322	159.386
10	259	258.9	259.4	156.942	157.37	157.267	257.1	258	256.3	159.322	158.799	158.714	254.5	255.4	252.8	159.823	161.765	159.966
11	258.8	258.6	258.7	156.736	157.815	157.371	256.7	257.5	255	159.128	159.616	158.317	253.7	253.5	253.7	161.692	162.71	160.489
12	258.6	258.7	259	156.855	157.895	157.564	256.3	257.6	255.5	159.111	159.611	158.711	253.8	253	253.2	160.28	162.7	159.897
13	258.6	258.4	259.1	157.274	158.054	157.041	256.2	257.1	255.8	159.521	160.004	159.308	252.8	252.9	252.4	161.521	163.287	160.77
14	258.1	258.6	258.6	157.342	157.768	157.639	255.3	257.5	254.8	160.114	160.625	158.945	251.6	251.7	252.5	160.115	164.048	160.29
15	257.9	257.8	258.3	157.142	158.503	157.781	254.8	255.8	254.2	159.723	161.023	159.136	250.7	250.8	250.8	161.099	161.804	160.586
16	258.1	257.6	257.6	157.212	158.58	158.131	255.2	255.5	252.8	159.914	160.82	159.323	250.4	250.4	250.1	162.768	164.353	162.229
17	257.9	257.4	257.9	157.502	158.674	157.781	254.9	255.1	253.4	160.524	161.006	159.307	248.9	249.1	249.5	161.37	164.617	162.27
18	257.7	257.3	257.9	157.729	158.612	158.078	254.5	254.8	253.3	160.727	161.159	159.711	249.1	247.6	249.7	161.633	164.818	162.159
19	257	257.1	257.5	157.531	158.852	158.285	253.1	254.4	252.5	160.537	161.642	160.061	248.2	247.8	248.1	161.38	165.378	161.979
20	256.7	256.8	256.8	157.565	158.632	158.45	252.5	253.9	251.2	160.518	161.066	160.397	247.9	247.1	247.4	161.348	164.531	163.199
21	256.8	256.6	256.6	157.295	158.454	157.863	252.6	253.4	250.7	160.098	160.82	159.473	247.2	245.8	246.7	162.161	164.15	162.919
22	256.3	256	256.7	157.693	158.639	158.395	251.7	252.3	250.9	159.76	161.017	160.27	246.2	245	245.8	162.429	164.404	162.703
23	256.2	256	256.7	157.345	158.941	158.844	251.5	252.2	250.9	160.525	161.602	161.105	245.9	244.5	245.9	163.081	165.29	163.828
24	256.5	255.6	256.3	157.524	158.818	159.106	252	251.5	250.1	160.368	161.617	161.642	244.5	244.6	245.5	163.983	165.279	164.662
25	256	255.4	256.2	157.276	158.725	159.286	251	251.1	250	160.888	161.411	161.902	244.1	243.1	244.9	163.995	165.061	166.39
26	255.5	255.2	255.8	157.275	159.102	159.163	250.1	250.6	249.2	161.231	162.01	161.702	244.4	241.9	245	164.785	165.742	165.435
27	255.4	255	255.8	157.574	159.392	159.335	249.8	250.3	249.1	160.934	162.408	162.074	243.7	241.3	243.8	165.671	166.244	165.964
28	255.2	254.7	255.3	157.874	159.365	159.199	249.5	249.7	248.1	161.08	162.214	162.677	242.1	241	244.1	164.252	165.976	166.902
29	255	254.1	255	157.71	159.593	159.022	249.1	248.4	247.6	161.718	162.6	162.371	241.6	240	243.4	164.53	166.536	166.625
30	254	254	254.9	158.068	159.716	159.565	247.1	248.3	247.3	161.907	163.029	162.284	240.5	238.8	242.5	166.371	167.147	167.116
