"inches"	"specimen"	"megacycles"
"1"	0.9	1	0
"2"	0.95	1	0.01
"3"	1	1	0.02
"4"	1.05	1	0.03
"5"	1.12	1	0.04
"6"	1.19	1	0.05
"7"	1.27	1	0.06
"8"	1.35	1	0.07
"9"	1.48	1	0.08
"10"	1.64	1	0.09
"11"	0.9	2	0
"12"	0.94	2	0.01
"13"	0.98	2	0.02
"14"	1.03	2	0.03
"15"	1.08	2	0.04
"16"	1.14	2	0.05
"17"	1.21	2	0.06
"18"	1.28	2	0.07
"19"	1.37	2	0.08
"20"	1.47	2	0.09
"21"	1.6	2	0.1
"22"	0.9	3	0
"23"	0.94	3	0.01
"24"	0.98	3	0.02
"25"	1.03	3	0.03
"26"	1.08	3	0.04
"27"	1.13	3	0.05
"28"	1.19	3	0.06
"29"	1.26	3	0.07
"30"	1.35	3	0.08
"31"	1.46	3	0.09
"32"	1.58	3	0.1
"33"	1.77	3	0.11
"34"	0.9	4	0
"35"	0.94	4	0.01
"36"	0.98	4	0.02
"37"	1.03	4	0.03
"38"	1.07	4	0.04
"39"	1.12	4	0.05
"40"	1.19	4	0.06
"41"	1.25	4	0.07
"42"	1.34	4	0.08
"43"	1.43	4	0.09
"44"	1.55	4	0.1
"45"	1.73	4	0.11
"46"	0.9	5	0
"47"	0.94	5	0.01
"48"	0.98	5	0.02
"49"	1.03	5	0.03
"50"	1.07	5	0.04
"51"	1.12	5	0.05
"52"	1.19	5	0.06
"53"	1.24	5	0.07
"54"	1.34	5	0.08
"55"	1.43	5	0.09
"56"	1.55	5	0.1
"57"	1.71	5	0.11
"58"	0.9	6	0
"59"	0.94	6	0.01
"60"	0.98	6	0.02
"61"	1.03	6	0.03
"62"	1.07	6	0.04
"63"	1.12	6	0.05
"64"	1.18	6	0.06
"65"	1.23	6	0.07
"66"	1.33	6	0.08
"67"	1.41	6	0.09
"68"	1.51	6	0.1
"69"	1.68	6	0.11
"70"	0.9	7	0
"71"	0.94	7	0.01
"72"	0.98	7	0.02
"73"	1.02	7	0.03
"74"	1.07	7	0.04
"75"	1.11	7	0.05
"76"	1.17	7	0.06
"77"	1.23	7	0.07
"78"	1.32	7	0.08
"79"	1.41	7	0.09
"80"	1.52	7	0.1
"81"	1.66	7	0.11
"82"	0.9	8	0
"83"	0.93	8	0.01
"84"	0.97	8	0.02
"85"	1	8	0.03
"86"	1.06	8	0.04
"87"	1.11	8	0.05
"88"	1.17	8	0.06
"89"	1.23	8	0.07
"90"	1.3	8	0.08
"91"	1.39	8	0.09
"92"	1.49	8	0.1
"93"	1.62	8	0.11
"94"	0.9	9	0
"95"	0.92	9	0.01
"96"	0.97	9	0.02
"97"	1.01	9	0.03
"98"	1.05	9	0.04
"99"	1.09	9	0.05
"100"	1.15	9	0.06
"101"	1.21	9	0.07
"102"	1.28	9	0.08
"103"	1.36	9	0.09
"104"	1.44	9	0.1
"105"	1.55	9	0.11
"106"	1.72	9	0.12
"107"	0.9	10	0
"108"	0.92	10	0.01
"109"	0.96	10	0.02
"110"	1	10	0.03
"111"	1.04	10	0.04
"112"	1.08	10	0.05
"113"	1.13	10	0.06
"114"	1.19	10	0.07
"115"	1.26	10	0.08
"116"	1.34	10	0.09
"117"	1.42	10	0.1
"118"	1.52	10	0.11
"119"	1.67	10	0.12
"120"	0.9	11	0
"121"	0.93	11	0.01
"122"	0.96	11	0.02
"123"	1	11	0.03
"124"	1.04	11	0.04
"125"	1.08	11	0.05
"126"	1.13	11	0.06
"127"	1.18	11	0.07
"128"	1.24	11	0.08
"129"	1.31	11	0.09
"130"	1.39	11	0.1
"131"	1.49	11	0.11
"132"	1.65	11	0.12
"133"	0.9	12	0
"134"	0.93	12	0.01
"135"	0.97	12	0.02
"136"	1	12	0.03
"137"	1.03	12	0.04
"138"	1.07	12	0.05
"139"	1.1	12	0.06
"140"	1.16	12	0.07
"141"	1.22	12	0.08
"142"	1.29	12	0.09
"143"	1.37	12	0.1
"144"	1.48	12	0.11
"145"	1.64	12	0.12
"146"	0.9	13	0
"147"	0.92	13	0.01
"148"	0.97	13	0.02
"149"	0.99	13	0.03
"150"	1.03	13	0.04
