"powerdrop"	"device"	"hours"	"celsius"
"1"	0	101	0	150
"2"	-0.01695	101	125	150
"3"	-0.02642	101	250	150
"4"	-0.03462	101	375	150
"5"	-0.04627	101	500	150
"6"	-0.05481	101	625	150
"7"	-0.06703	101	750	150
"8"	-0.08456	101	875	150
"9"	-0.10231	101	1000	150
"10"	-0.12327	101	1125	150
"11"	-0.14051	101	1250	150
"12"	-0.15923	101	1375	150
"13"	-0.17725	101	1500	150
"14"	-0.18774	101	1625	150
"15"	-0.20509	101	1750	150
"16"	-0.21936	101	1875	150
"17"	-0.23251	101	2000	150
"18"	-0.24685	101	2125	150
"19"	-0.25799	101	2250	150
"20"	-0.26883	101	2375	150
"21"	-0.2824	101	2500	150
"22"	-0.29468	101	2625	150
"23"	-0.30798	101	2750	150
"24"	-0.32745	101	2875	150
"25"	-0.33678	101	3000	150
"26"	-0.34371	101	3125	150
"27"	-0.3634	101	3250	150
"28"	-0.37668	101	3375	150
"29"	-0.388	101	3500	150
"30"	-0.39833	101	3625	150
"31"	-0.40994	101	3750	150
"32"	-0.41489	101	3875	150
"33"	-0.4214	101	4000	150
"34"	0	102	0	150
"35"	-0.01561	102	125	150
"36"	-0.0233	102	250	150
"37"	-0.02986	102	375	150
"38"	-0.04317	102	500	150
"39"	-0.05332	102	625	150
"40"	-0.05823	102	750	150
"41"	-0.07225	102	875	150
"42"	-0.08396	102	1000	150
"43"	-0.0908	102	1125	150
"44"	-0.0992	102	1250	150
"45"	-0.11297	102	1375	150
"46"	-0.12133	102	1500	150
"47"	-0.13096	102	1625	150
"48"	-0.13765	102	1750	150
"49"	-0.14532	102	1875	150
"50"	-0.15154	102	2000	150
"51"	-0.16084	102	2125	150
"52"	-0.17574	102	2250	150
"53"	-0.18293	102	2375	150
"54"	-0.19517	102	2500	150
"55"	-0.20599	102	2625	150
"56"	-0.21217	102	2750	150
"57"	-0.22548	102	2875	150
"58"	-0.23635	102	3000	150
"59"	-0.24678	102	3125	150
"60"	-0.25541	102	3250	150
"61"	-0.26515	102	3375	150
"62"	-0.28747	102	3500	150
"63"	-0.29413	102	3625	150
"64"	-0.30609	102	3750	150
"65"	-0.31385	102	3875	150
"66"	-0.33153	102	4000	150
"67"	0	103	0	150
"68"	-0.007519	103	125	150
"69"	-0.016651	103	250	150
"70"	-0.02853	103	375	150
"71"	-0.037004	103	500	150
"72"	-0.043235	103	625	150
"73"	-0.052087	103	750	150
"74"	-0.06252	103	875	150
"75"	-0.073492	103	1000	150
"76"	-0.081	103	1125	150
"77"	-0.090028	103	1250	150
"78"	-0.11229	103	1375	150
"79"	-0.120632	103	1500	150
"80"	-0.12996	103	1625	150
"81"	-0.145035	103	1750	150
"82"	-0.156301	103	1875	150
"83"	-0.165566	103	2000	150
"84"	-0.172689	103	2125	150
"85"	-0.181161	103	2250	150
"86"	-0.186464	103	2375	150
"87"	-0.197439	103	2500	150
"88"	-0.207583	103	2625	150
"89"	-0.21566	103	2750	150
"90"	-0.2229	103	2875	150
"91"	-0.229876	103	3000	150
"92"	-0.237961	103	3125	150
"93"	-0.242438	103	3250	150
"94"	-0.246376	103	3375	150
"95"	-0.255717	103	3500	150
"96"	-0.272772	103	3625	150
"97"	-0.28221	103	3750	150
"98"	-0.293093	103	3875	150
"99"	-0.300563	103	4000	150
"100"	0	104	0	150
"101"	-0.02977	104	125	150
"102"	-0.05058	104	250	150
"103"	-0.05935	104	375	150
"104"	-0.0773	104	500	150
"105"	-0.08643	104	625	150
"106"	-0.11584	104	750	150
"107"	-0.12954	104	875	150
"108"	-0.14477	104	1000	150
"109"	-0.17162	104	1125	150
"110"	-0.1905	104	1250	150
"111"	-0.19869	104	1375	150
"112"	-0.20972	104	1500	150
"113"	-0.22684	104	1625	150
"114"	-0.25256	104	1750	150
"115"	-0.26393	104	1875	150
"116"	-0.27917	104	2000	150
"117"	-0.29238	104	2125	150
"118"	-0.30194	104	2250	150
"119"	-0.32183	104	2375	150
"120"	-0.33386	104	2500	150
"121"	-0.35014	104	2625	150
"122"	-0.35843	104	2750	150
"123"	-0.36748	104	2875	150
"124"	-0.379	104	3000	150
"125"	-0.40134	104	3125	150
"126"	-0.40641	104	3250	150
"127"	-0.41682	104	3375	150
"128"	-0.42362	104	3500	150
"129"	-0.44747	104	3625	150
"130"	-0.45479	104	3750	150
"131"	-0.46434	104	3875	150
"132"	-0.47879	104	4000	150
"133"	0	105	0	150
"134"	-0.01133	105	125	150
"135"	-0.02882	105	250	150
"136"	-0.04448	105	375	150
"137"	-0.06125	105	500	150
"138"	-0.07205	105	625	150
"139"	-0.08823	105	750	150
"140"	-0.10644	105	875	150
"141"	-0.12021	105	1000	150
"142"	-0.1408	105	1125	150
"143"	-0.15125	105	1250	150
"144"	-0.17308	105	1375	150
"145"	-0.18565	105	1500	150
"146"	-0.20549	105	1625	150
"147"	-0.21706	105	1750	150
"148"	-0.24402	105	1875	150
"149"	-0.2537	105	2000	150
"150"	-0.27573	105	2125	150
"151"	-0.30081	105	2250	150
"152"	-0.31859	105	2375	150
"153"	-0.34134	105	2500	150
"154"	-0.35455	105	2625	150
"155"	-0.36516	105	2750	150
"156"	-0.38028	105	2875	150
"157"	-0.3996	105	3000	150
"158"	-0.41478	105	3125	150
"159"	-0.42832	105	3250	150
"160"	-0.43742	105	3375	150
"161"	-0.44924	105	3500	150
"162"	-0.45821	105	3625	150
"163"	-0.47681	105	3750	150
"164"	-0.4852	105	3875	150
"165"	-0.4959	105	4000	150
"166"	0	106	0	150
"167"	-0.01629	106	125	150
"168"	-0.0424	106	250	150
"169"	-0.06	106	375	150
"170"	-0.08147	106	500	150
"171"	-0.09392	106	625	150
"172"	-0.11701	106	750	150
"173"	-0.12764	106	875	150
"174"	-0.14306	106	1000	150
"175"	-0.15692	106	1125	150
"176"	-0.17502	106	1250	150
"177"	-0.18697	106	1375	150
"178"	-0.20245	106	1500	150
"179"	-0.23661	106	1625	150
"180"	-0.25017	106	1750	150
"181"	-0.2595	106	1875	150
"182"	-0.27223	106	2000	150
"183"	-0.28283	106	2125	150
"184"	-0.29943	106	2250	150
"185"	-0.31422	106	2375	150
"186"	-0.32394	106	2500	150
"187"	-0.33783	106	2625	150
"188"	-0.34818	106	2750	150
"189"	-0.37096	106	2875	150
"190"	-0.38591	106	3000	150
"191"	-0.39705	106	3125	150
"192"	-0.40667	106	3250	150
"193"	-0.42607	106	3375	150
"194"	-0.4372	106	3500	150
"195"	-0.44863	106	3625	150
"196"	-0.45839	106	3750	150
"197"	-0.47042	106	3875	150
"198"	-0.47886	106	4000	150
"199"	0	107	0	150
"200"	-0.008789	107	125	150
"201"	-0.016061	107	250	150
"202"	-0.031512	107	375	150
"203"	-0.041114	107	500	150
