"increase"	"unit"	"hours"
"1"	0	101	0
"2"	0.4741	101	250
"3"	0.9255	101	500
"4"	2.1147	101	750
"5"	2.7168	101	1000
"6"	3.511	101	1250
"7"	4.3415	101	1500
"8"	4.9076	101	1750
"9"	5.4782	101	2000
"10"	5.9925	101	2250
"11"	6.7224	101	2500
"12"	7.1303	101	2750
"13"	8.0006	101	3000
"14"	8.9193	101	3250
"15"	9.494	101	3500
"16"	9.8675	101	3750
"17"	10.9446	101	4000
"18"	0	102	0
"19"	0.7078	102	250
"20"	1.2175	102	500
"21"	1.8955	102	750
"22"	2.2954	102	1000
"23"	2.865	102	1250
"24"	3.7454	102	1500
"25"	4.4192	102	1750
"26"	4.9894	102	2000
"27"	5.5148	102	2250
"28"	6.0668	102	2500
"29"	6.6385	102	2750
"30"	7.1615	102	3000
"31"	7.7778	102	3250
"32"	8.4242	102	3500
"33"	8.9092	102	3750
"34"	9.2834	102	4000
"35"	0	103	0
"36"	0.7074	103	250
"37"	1.1651	103	500
"38"	1.7253	103	750
"39"	1.9888	103	1000
"40"	2.5325	103	1250
"41"	2.9695	103	1500
"42"	3.2977	103	1750
"43"	3.9354	103	2000
"44"	4.1613	103	2250
"45"	4.4459	103	2500
"46"	4.889	103	2750
"47"	5.2696	103	3000
"48"	5.6913	103	3250
"49"	6.0216	103	3500
"50"	6.4485	103	3750
"51"	6.8849	103	4000
"52"	0	104	0
"53"	0.3634	104	250
"54"	0.6161	104	500
"55"	1.3597	104	750
"56"	1.9525	104	1000
"57"	2.2995	104	1250
"58"	2.9468	104	1500
"59"	3.3871	104	1750
"60"	3.7863	104	2000
"61"	4.1116	104	2250
"62"	4.5013	104	2500
"63"	4.7209	104	2750
"64"	4.9766	104	3000
"65"	5.2812	104	3250
"66"	5.615	104	3500
"67"	5.9503	104	3750
"68"	6.1438	104	4000
"69"	0	105	0
"70"	0.2707	105	250
"71"	0.6144	105	500
"72"	1.1093	105	750
"73"	1.773	105	1000
"74"	2.0625	105	1250
"75"	2.5835	105	1500
"76"	2.9863	105	1750
"77"	3.3765	105	2000
"78"	4.0491	105	2250
"79"	4.626	105	2500
"80"	5.237	105	2750
"81"	5.6191	105	3000
"82"	6.0449	105	3250
"83"	6.3167	105	3500
"84"	7.0952	105	3750
"85"	7.5941	105	4000
"86"	0	106	0
"87"	0.3584	106	250
"88"	1.3922	106	500
"89"	1.9541	106	750
"90"	2.8617	106	1000
"91"	3.4552	106	1250
"92"	3.8117	106	1500
"93"	4.533	106	1750
"94"	5.3541	106	2000
"95"	5.9217	106	2250
"96"	6.7078	106	2500
"97"	7.7027	106	2750
"98"	8.6053	106	3000
"99"	9.1477	106	3250
"100"	9.951	106	3500
"101"	10.4857	106	3750
"102"	11.0096	106	4000
"103"	0	107	0
"104"	0.3637	107	250
"105"	0.9237	107	500
"106"	1.2098	107	750
"107"	1.4591	107	1000
"108"	1.9323	107	1250
"109"	2.3862	107	1500
"110"	2.6799	107	1750
"111"	2.9397	107	2000
"112"	3.4183	107	2250
"113"	4.0857	107	2500
"114"	4.5843	107	2750
"115"	4.8402	107	3000
"116"	5.1145	107	3250
"117"	5.5691	107	3500
"118"	6.114	107	3750
"119"	7.1723	107	4000
"120"	0	108	0
"121"	0.458	108	250
"122"	1.0678	108	500
"123"	1.4163	108	750
"124"	1.7659	108	1000
"125"	2.1061	108	1250
"126"	2.3969	108	1500
"127"	2.78	108	1750
"128"	3.0187	108	2000
"129"	3.289	108	2250
"130"	3.7542	108	2500
"131"	4.1595	108	2750
"132"	4.7575	108	3000
"133"	5.1597	108	3250
"134"	5.4591	108	3500
"135"	5.8085	108	3750
"136"	6.245	108	4000
"137"	0	109	0
"138"	0.5098	109	250
"139"	0.9308	109	500
"140"	1.5713	109	750
"141"	1.9576	109	1000
"142"	2.5871	109	1250
"143"	3.2892	109	1500
"144"	3.6075	109	1750
"145"	4.1148	109	2000
"146"	4.5964	109	2250
"147"	4.913	109	2500
"148"	5.3408	109	2750
"149"	5.8418	109	3000
"150"	6.3961	109	3250
"151"	6.8441	109	3500
"152"	7.2037	109	3750
"153"	7.8848	109	4000
"154"	0	110	0
"155"	0.4136	110	250
"156"	1.488	110	500
"157"	2.381	110	750
