"percent"	"resistor"	"celsius"	"hours"
"1"	0.28	1	83	0.452
"2"	0.32	1	83	1.03
"3"	0.38	1	83	4.341
"4"	0.62	1	83	8.084
"5"	0.22	2	83	0.452
"6"	0.24	2	83	1.03
"7"	0.26	2	83	4.341
"8"	0.38	2	83	8.084
"9"	0.41	3	83	0.452
"10"	0.46	3	83	1.03
"11"	0.54	3	83	4.341
"12"	0.81	3	83	8.084
"13"	0.25	4	83	0.452
"14"	0.29	4	83	1.03
"15"	0.32	4	83	4.341
"16"	0.48	4	83	8.084
"17"	0.25	5	83	0.452
"18"	0.26	5	83	1.03
"19"	0.42	5	83	4.341
"20"	0.57	5	83	8.084
"21"	0.32	6	83	0.452
"22"	0.36	6	83	1.03
"23"	0.45	6	83	4.341
"24"	0.58	6	83	8.084
"25"	0.36	7	83	0.452
"26"	0.41	7	83	1.03
"27"	0.52	7	83	4.341
"28"	0.7	7	83	8.084
"29"	0.24	8	83	0.452
"30"	0.28	8	83	1.03
"31"	0.34	8	83	4.341
"32"	0.55	8	83	8.084
"33"	0.33	9	83	0.452
"34"	0.4	9	83	1.03
"35"	0.44	9	83	4.341
"36"	0.85	9	83	8.084
"37"	0.4	10	83	0.452
"38"	0.47	10	83	1.03
"39"	0.72	10	83	4.341
"40"	1.05	10	83	8.084
"41"	0.88	11	133	0.452
"42"	1.19	11	133	1.03
"43"	2.06	11	133	4.341
"44"	3.15	11	133	8.084
"45"	0.53	12	133	0.452
"46"	0.64	12	133	1.03
"47"	0.99	12	133	4.341
"48"	1.6	12	133	8.084
"49"	0.47	13	133	0.452
"50"	0.62	13	133	1.03
"51"	1	13	133	4.341
"52"	1.5	13	133	8.084
"53"	0.57	14	133	0.452
"54"	0.75	14	133	1.03
"55"	1.26	14	133	4.341
"56"	2.03	14	133	8.084
"57"	0.55	15	133	0.452
"58"	0.67	15	133	1.03
"59"	1.09	15	133	4.341
"60"	1.79	15	133	8.084
"61"	0.78	16	133	0.452
"62"	0.96	16	133	1.03
"63"	1.48	16	133	4.341
"64"	2.27	16	133	8.084
"65"	0.83	17	133	0.452
"66"	1.12	17	133	1.03
"67"	1.96	17	133	4.341
"68"	3.29	17	133	8.084
"69"	0.64	18	133	0.452
"70"	0.8	18	133	1.03
"71"	1.23	18	133	4.341
"72"	1.84	18	133	8.084
"73"	0.55	19	133	0.452
"74"	0.74	19	133	1.03
"75"	1.29	19	133	4.341
"76"	2.03	19	133	8.084
"77"	0.87	20	133	0.452
"78"	1.29	20	133	1.03
"79"	2.62	20	133	4.341
"80"	4.44	20	133	8.084
"81"	1.25	21	173	0.452
"82"	1.88	21	173	1.03
"83"	3.54	21	173	4.341
"84"	5.23	21	173	8.084
"85"	2.64	22	173	0.452
"86"	3.78	22	173	1.03
"87"	7.01	22	173	4.341
"88"	11.12	22	173	8.084
"89"	0.98	23	173	0.452
"90"	1.36	23	173	1.03
"91"	2.66	23	173	4.341
"92"	4.42	23	173	8.084
"93"	1.62	24	173	0.452
"94"	2.34	24	173	1.03
"95"	3.82	24	173	4.341
"96"	6.14	24	173	8.084
"97"	1.59	25	173	0.452
"98"	2.41	25	173	1.03
"99"	3.46	25	173	4.341
"100"	6.75	25	173	8.084
"101"	2.29	26	173	0.452
"102"	2.24	26	173	1.03
"103"	6.3	26	173	4.341
"104"	8.34	26	173	8.084
"105"	0.98	27	173	0.452
"106"	1.37	27	173	1.03
"107"	2.47	27	173	4.341
"108"	3.74	27	173	8.084
"109"	1.04	28	173	0.452
"110"	1.54	28	173	1.03
"111"	2.77	28	173	4.341
"112"	4.16	28	173	8.084
"113"	1.19	29	173	0.452
"114"	1.59	29	173	1.03
"115"	3.03	29	173	4.341
"116"	4.52	29	173	8.084
