Distance	Roda1	Roda2	Roda3	Roda4	Roda5	Roda6	Roda7	Roda8	Roda9	Roda10	Roda11	Roda12	Roda13	Roda14
50	2.7	2.8998	3.7028	4.6583	6.6897	4.8609	2.8	3.0743	6.3538	4.236	11.5675	14.7473	6.5	7.9946
100	4.0659	4.9251	6.4751	8.3716	12.2041	8.6231	5.5	5.2	11.4653	7.5336	22.2514	28.4222	15.7	14.9741
150	5.6609	6.6984	9.2832	12.2653	17.9402	12.5503	10.6	7.3039	16.7972	10.768	32.8311	42.2152	18.4	22.0686
200	7.2631	8.6252	11.8857	15.9242	23.5024	16.3594	12.9	9.5605	22.0818	14.1162	43.5843	55.8604	22.2	28.9677
250	8.685	10.422	14.6862	19.5283	29.1228	20.266	16.4	11.466	27.3303	17.4094	54.1357	69.5656	26.5	35.9954
300	10.4017	12.4066	17.3731	23.2358	34.8227	24.0793	19.6	13.6586	32.5504	20.7214	64.7981	83.2889	29.6	42.9094
350	12.0305	14.3119	20.2155	27.0731	40.4531	27.9391	25.1	15.6574	37.9657	23.8505	75.3103	NA	33.6	49.9912
400	13.4421	16.1846	22.8683	30.6517	46.0059	31.7847	28.4	17.7745	43.0866	27.1674	85.9533	NA	38.5	56.9346
450	14.947	17.9799	25.6566	34.3705	51.6525	35.6754	32.5	19.9214	48.4552	30.4357	NA	NA	43.2	64.0608
500	16.6277	19.8565	28.364	38.2276	57.3747	39.558	37.6	22.0137	53.683	33.793	NA	NA	47.1	70.9726
550	18.1337	21.8192	31.0904	41.8718	62.9516	43.3766	42.3	24.1333	59.072	37.0533	NA	NA	51.8	77.9534
600	19.6648	23.7242	33.8826	45.4724	68.5743	47.2591	46.5	26.2075	64.3083	40.4565	NA	NA	55.1	NA
