Time Unit1 Unit2 Unit3 Unit4 Unit5
100 1.05 0.58 0.86 0.6 0.62
200 1.40 0.90 1.25 0.6 0.64
300 1.75 1.20 1.45 0.6 1.25
400 2.10 1.75 1.75 0.9 1.30
500 2.10 2.01 1.75 0.9 0.95
600 2.80 2.00 2.00 1.2 1.25
700 2.80 2.00 2.00 1.5 1.55
800 2.80 2.00 2.00 1.5 1.90
900 3.20 2.30 2.30 1.5 1.55
1000 3.40 2.60 2.30 1.7 1.55
1200 3.80 2.90 2.60 2.1 1.50
1400 4.20 2.90 2.80 2.1 1.55
1600 4.20 3.20 3.15 1.8 1.90
1800 4.50 3.60 3.20 2.1 1.85
2000 4.90 3.80 3.20 2.1 2.20
2500 5.60 4.20 3.80 2.4 2.20
3000 5.90 4.40 3.80 2.7 2.50
3500 6.30 4.80 4.00 2.7 2.20
4000 6.60 5.00 4.20 3.0 2.80
4500 7.00 5.60 4.40 3.0 2.80
5000 7.80 5.90 4.60 3.0 2.80
6000 8.60 6.20 4.90 3.6 3.10
7000 9.10 6.80 5.20 3.6 3.10
8000 9.50 7.40 5.80 4.2 3.10
9000 10.50 7.70 6.10 4.6 3.70
10000 11.10 8.40 6.30 4.2 4.40
12000 12.20 8.90 7.00 4.8 3.70
14000 13.00 9.50 7.20 5.1 4.40
16000 14.00 10.00 7.60 4.8 4.40
18000 15.00 10.40 7.70 5.3 4.10
20000 16.00 10.90 8.10 5.8 4.10
25000 18.50 12.60 8.90 5.7 4.70
30000 20.30 13.20 9.50 6.2 4.70
35000 22.10 15.40 11.20 8.0 6.40
40000 24.20 18.10 14.00 10.9 9.40
