Sample Time Metric Value
1 4 y1 2.22
1 4 y2 1.08
1 6 y1 3.05
1 6 y2 2.20
1 10 y1 8.89
1 10 y2 11.83
1 11 y1 9.23
1 11 y2 13.29
1 12 y1 9.66
1 12 y2 14.96
1 13 y1 9.73
1 13 y2 15.63
1 16 y1 11.31
1 16 y2 23.00
1 17 y1 11.57
1 17 y2 24.97
1 19 y1 12.47
1 19 y2 31.03
1 22 y1 13.62
1 22 y2 40.79
1 29 y1 18.32
1 29 y2 74.99
2 1 y1 0.41
2 1 y2 0.02
2 3 y1 1.29
2 3 y2 0.38
2 4 y1 1.80
2 4 y2 0.83
2 5 y1 3.79
2 5 y2 2.83
2 9 y1 8.49
2 9 y2 10.10
2 13 y1 11.21
2 13 y2 18.84
2 14 y1 13.24
2 14 y2 23.49
2 17 y1 18.52
2 17 y2 37.24
2 22 y1 22.79
2 25 y1 27.64
2 26 y1 28.41
3 2 y1 1.62
3 2 y2 0.29
3 7 y1 5.53
3 7 y2 4.95
3 8 y1 5.70
3 8 y2 5.60
3 11 y1 13.55
3 11 y2 16.28
3 12 y1 13.66
3 12 y2 17.09
3 14 y1 15.80
3 14 y2 23.36
3 17 y1 17.67
3 17 y2 32.06
3 21 y1 19.37
3 21 y2 43.75
3 23 y1 23.06
3 23 y2 56.47
3 24 y1 23.26
3 24 y2 59.61
3 29 y1 25.32
